trip_id,driver_id,vehicle_type,pickup_area,dropoff_area,distance_km,time_of_day,day_of_week,traffic_index,weather,planned_duration_min,actual_duration_min,delivery_status,driver_experience_days
2205,136,scooter,suburb,industrial,10.51,8,Saturday,0.67,rain,26.27,62.11,delayed,105
2461,146,bike,central,tech_park,3.48,23,Tuesday,0.19,clear,11.6,26.81,delayed,717
1964,107,car,tech_park,central,21.01,21,Sunday,0.57,clear,42.02,64.46,delayed,66
1429,115,scooter,tech_park,tech_park,14.7,21,Wednesday,0.5,clear,36.75,56.96,delayed,906
1043,108,scooter,central,suburb,16.18,8,Thursday,0.94,clear,40.45,68.56,delayed,709
40,134,scooter,old_city,industrial,6.11,20,Sunday,0.37,fog,15.28,28.82,on_time,215
741,117,scooter,industrial,old_city,,23,Tuesday,0.62,rain,4.95,13.32,on_time,167
365,137,scooter,suburb,suburb,4.29,14,Saturday,0.46,,10.72,13.6,on_time,393
2308,101,car,suburb,suburb,20.24,12,Saturday,0.61,clear,40.48,77.93,delayed,387
1665,146,bike,central,suburb,11.25,9,Wednesday,0.91,clear,37.5,72.94,delayed,192
899,117,car,central,tech_park,22.02,5,Wednesday,0.41,clear,44.04,68.15,delayed,613
1197,120,scooter,suburb,suburb,3.2,14,Saturday,0.4,clear,8.0,11.62,on_time,461
1097,119,car,industrial,industrial,11.51,8,Friday,0.82,clear,23.02,41.43,delayed,120
22,145,car,tech_park,industrial,22.41,1,Friday,0.42,clear,44.82,64.38,delayed,482
1691,127,car,industrial,industrial,23.42,23,Monday,0.58,clear,46.84,72.21,delayed,941
447,116,bike,central,tech_park,11.28,9,Sunday,0.71,clear,37.6,70.75,delayed,755
2175,125,bike,tech_park,industrial,4.64,15,Monday,0.33,clear,15.47,24.25,on_time,786
2011,133,car,suburb,old_city,19.48,6,Tuesday,0.46,clear,38.96,64.44,delayed,953
1275,105,scooter,old_city,central,13.9,23,Sunday,0.32,rain,34.75,76.0,delayed,991
1439,104,car,central,old_city,21.22,2,Saturday,0.24,clear,42.44,58.86,delayed,84
1989,131,bike,central,suburb,16.5,12,Saturday,0.19,clear,55.0,55.86,on_time,667
673,145,bike,old_city,industrial,13.75,5,Sunday,0.6,clear,45.83,98.06,delayed,545
1207,107,bike,suburb,suburb,6.27,3,Thursday,0.39,clear,20.9,32.01,on_time,753
1684,126,bike,tech_park,suburb,4.88,3,Tuesday,0.39,clear,16.27,21.86,on_time,984
1179,105,scooter,central,tech_park,8.47,7,Friday,0.24,clear,21.18,31.4,on_time,634
1389,116,car,suburb,industrial,16.91,11,Sunday,0.5,rain,33.82,64.88,delayed,145
1844,134,bike,industrial,industrial,4.76,7,Thursday,0.35,clear,15.87,10.71,early,66
1337,101,bike,old_city,tech_park,24.16,19,Saturday,0.93,rain,80.53,249.59,delayed,791
1972,118,scooter,tech_park,industrial,1.04,20,Friday,0.46,clear,2.6,11.13,on_time,59
693,149,scooter,suburb,suburb,14.3,6,Sunday,0.47,rain,35.75,75.76,delayed,298
590,133,bike,old_city,suburb,6.73,20,Wednesday,0.24,clear,22.43,30.12,on_time,412
2137,104,scooter,industrial,suburb,23.63,18,Thursday,0.88,clear,59.07,110.39,delayed,497
157,146,bike,suburb,central,20.72,11,Monday,0.48,clear,69.07,97.66,delayed,656
1108,119,bike,old_city,suburb,14.46,0,Thursday,0.36,clear,48.2,74.19,delayed,185
2163,117,scooter,industrial,tech_park,15.77,12,Thursday,0.55,clear,39.42,67.84,delayed,448
763,140,bike,old_city,industrial,12.9,1,Tuesday,0.29,clear,43.0,59.19,delayed,829
386,146,car,old_city,old_city,10.85,10,Monday,0.63,clear,21.7,44.5,delayed,549
665,100,car,suburb,tech_park,10.3,11,Tuesday,0.42,clear,20.6,23.86,on_time,305
2189,144,car,old_city,central,24.86,21,Wednesday,0.43,rain,49.72,110.07,delayed,426
312,121,bike,tech_park,tech_park,18.33,19,Sunday,0.73,rain,61.1,132.14,delayed,626
2313,145,scooter,central,industrial,19.29,22,Friday,0.13,rain,48.22,65.92,delayed,708
2156,102,bike,old_city,central,11.62,14,Monday,0.29,clear,38.73,57.17,delayed,567
1865,142,bike,tech_park,suburb,21.39,11,Thursday,0.3,clear,71.3,95.44,delayed,991
2449,132,bike,central,suburb,10.95,15,Thursday,0.33,rain,36.5,67.33,delayed,540
1503,145,car,old_city,tech_park,20.14,14,Wednesday,0.65,fog,40.28,90.62,delayed,744
2113,116,car,tech_park,old_city,24.48,0,Thursday,0.45,clear,48.96,91.44,delayed,658
2197,102,scooter,old_city,old_city,9.56,7,Saturday,0.15,clear,23.9,26.04,on_time,246
525,130,scooter,old_city,suburb,4.15,8,Wednesday,0.75,clear,10.38,25.69,delayed,187
1017,140,scooter,tech_park,central,14.35,12,Monday,0.43,clear,35.88,56.83,delayed,714
2430,110,scooter,suburb,suburb,2.46,18,Thursday,0.92,clear,6.15,7.27,on_time,233
1060,133,scooter,suburb,tech_park,13.57,19,Tuesday,0.78,clear,33.92,56.53,delayed,727
2416,108,scooter,industrial,suburb,20.66,3,Friday,0.38,clear,51.65,74.36,delayed,621
2184,107,scooter,central,suburb,23.58,13,Saturday,0.48,rain,58.95,111.12,delayed,146
1895,143,bike,suburb,tech_park,,15,Wednesday,0.15,clear,54.93,58.44,on_time,425
30,136,bike,central,old_city,10.81,0,Sunday,0.34,rain,36.03,73.15,delayed,517
1334,124,scooter,tech_park,tech_park,17.99,12,Friday,0.53,clear,44.97,68.66,delayed,94
